Date,Module,Function,input,result
2025-10-13 07:44:58,,,,
2025-10-13 07:45:39,standard,addition,"(1,2)",3
2025-10-13 07:47:32,standard,addition,"(1,2)",3
2025-10-13 07:48:47,standard,addition,"(34634643565464365634563456436534634653634563456,63456435645643565635636553635634653563563465346435643563456436534564356546345634653565346)",63456435645643565635636553635634653563563499981079209027822071098020793080980288288128802
2025-10-13 07:49:09,standard,addition,"(5444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444,45555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555)",5444444444489999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
2025-10-13 07:49:27,standard,multiplication,"(456456456456456467367346757456346543654367673647356756734673567356437,64376573767346736743764734743764375436563565634756)",29385102740650763420280327966540813179551928768560822280561260827576497622376129608233400747267204686143217338807524372
2025-10-13 07:49:47,standard,multiplication,"(4555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555,455555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555)",2075308641975308641975308641975308641975308641975308641975308641975308641975308641975308641975308641975308641975308641975055555555555555555555555555555555555555555553024691358024691358024691358024691358024691358024691358024691358024691358024691358024691358024691358024691358024691358025
2025-10-13 07:50:01,,,,
2025-10-13 22:38:59,scientific,sin,0.5934119456780721,0.5591929034707469
2025-10-13 22:40:36,scientific,sin,23,-0.8462204041751706
2025-10-13 22:43:09,scientific,sin,4,-0.7568024953079282
2025-10-13 22:44:33,scientific,cos,2324,0.7119229551880475
2025-10-13 22:44:52,scientific,tan,148.0565034447991,-0.6234989627162214
2025-10-13 23:17:30,scientific,tan,116.62015617740872,-1.9952004122082558
2025-10-13 23:31:41,scientific,sin,0.5235987755982988,0.49999999999999994
2025-10-13 23:33:47,scientific,sin,6.283185307179586,-2.4492935982947064e-16
2025-10-13 23:39:52,scientific,sin,1.5707963267948966,1.0
2025-10-13 23:40:09,scientific,cos,1.0471975511965976,0.5000000000000001
2025-10-13 23:40:16,scientific,cos,1.5707963267948966,6.123233995736766e-17
2025-10-13 23:40:29,scientific,cos,3.141592653589793,-1.0
2025-10-13 23:40:40,scientific,tan,45.0,0.9999999999999999
2025-10-13 23:40:46,scientific,tan,0.0,0.0
2025-10-13 23:41:40,scientific,tan,0.0,0.0
2025-10-13 23:41:53,scientific,asin,0.5,30.000000000000004
2025-10-13 23:42:02,scientific,asin,-1,-90.0
2025-10-13 23:42:38,scientific,acos,-1,180.0
2025-10-13 23:42:54,scientific,acos,1,0.0
2025-10-13 23:43:10,scientific,atan,1,45.0
2025-10-13 23:43:21,scientific,atan,-1,-45.0
2025-10-13 23:43:30,scientific,atan,450,89.87267625511262
2025-10-13 23:44:07,scientific,atan,-90,-89.36340642403653
2025-10-14 11:45:51,scientific,sinh,0.0,0.0
2025-10-14 11:45:57,scientific,sinh,1.0,1.1752011936438014
2025-10-14 11:46:02,scientific,sinh,-2.0,-3.6268604078470186
2025-10-14 11:46:17,scientific,cosh,0.0,1.0
2025-10-14 11:46:27,scientific,cosh,2.0,3.7621956910836314
2025-10-14 11:46:34,scientific,cosh,-3.0,10.067661995777765
2025-10-14 11:46:42,scientific,tanh,0.0,0.0
2025-10-14 11:46:48,scientific,tanh,1.0,0.7615941559557649
2025-10-14 11:46:52,scientific,tanh,-1.0,-0.7615941559557649
2025-10-14 11:46:58,scientific,tanh,100.0,1.0
2025-10-14 11:47:06,scientific,tanh,-100.0,-1.0
2025-10-14 11:47:11,scientific,asinh,0.0,0.0
2025-10-14 11:47:16,scientific,asinh,2.0,1.4436354751788103
2025-10-14 11:47:21,scientific,asinh,-3.0,-1.8184464592320668
2025-10-14 11:47:27,scientific,acosh,1.0,0.0
2025-10-14 11:47:36,scientific,acosh,2.0,1.3169578969248166
2025-10-14 11:47:52,scientific,acosh,5.0,2.2924316695611777
2025-10-14 11:48:11,scientific,acosh,4.0,2.0634370688955608
2025-10-14 11:48:42,scientific,atanh,0.5,0.5493061443340549
2025-10-14 11:50:41,scientific,factorial,3,6
2025-10-14 11:51:44,scientific,factorial,2,2
2025-10-14 12:04:26,scientific,fdf,,
2025-10-14 12:06:46,scientific,er,,
2025-10-14 12:06:55,scientific,ffff,,
2025-10-14 12:08:59,scientific,e,3,20.085536923187668
2025-10-14 12:16:25,scientific,log,4,1.0
